frame,id,x,y
322,3,1605,665
323,3,1606,665
324,3,1606,664
325,3,1606,663
326,3,1607,662
327,3,1607,661
328,3,1608,660
329,3,1608,660
330,3,1609,660
331,3,1609,659
332,3,1609,659
333,3,1610,659
334,3,1610,658
335,3,1611,658
336,3,1611,657
337,3,1612,657
338,3,1613,656
339,3,1613,656
340,3,1614,655
341,3,1614,655
342,3,1615,654
343,3,1615,654
344,3,1616,653
345,3,1617,653
346,3,1617,652
347,3,1617,652
348,3,1618,651
349,3,1619,651
350,3,1620,650
351,3,1620,650
352,3,1621,649
353,3,1621,649
354,3,1622,648
355,3,1622,648
356,3,1623,647
357,3,1623,647
358,3,1624,646
359,3,1624,646
360,3,1625,645
361,3,1625,645
362,3,1625,644
363,3,1626,644
364,3,1626,643
365,3,1627,643
366,3,1627,643
367,3,1628,642
368,3,1629,642
369,3,1629,641
370,3,1629,640
371,3,1630,640
372,3,1631,640
373,3,1631,639
374,3,1632,639
375,3,1632,638
376,3,1633,638
377,3,1633,637
378,3,1634,636
379,3,1634,636
380,3,1635,636
381,3,1636,635
382,3,1636,635
383,3,1637,635
384,3,1637,634
385,3,1638,634
386,3,1638,634
387,3,1639,633
388,3,1639,633
389,3,1640,632
390,3,1640,632
391,3,1641,631
392,3,1641,631
393,3,1642,631
394,3,1643,630
395,3,1644,630
396,3,1645,630
397,3,1645,629
398,3,1646,628
399,3,1647,628
400,3,1648,627
401,3,1648,627
402,3,1649,627
403,3,1649,626
404,3,1650,626
405,3,1650,625
406,3,1650,625
407,3,1651,624
408,3,1651,624
409,3,1652,624
410,3,1652,624
411,3,1652,624
412,3,1653,624
413,3,1654,624
414,3,1654,625
415,3,1655,625
416,3,1656,626
417,3,1656,626
418,3,1657,627
419,3,1658,627
420,3,1659,628
421,3,1660,628
422,3,1661,628
423,3,1662,628
424,3,1663,628
425,3,1665,628
426,3,1666,628
427,3,1667,628
428,3,1668,627
429,3,1668,627
430,3,1669,626
431,3,1669,625
432,3,1669,625
433,3,1670,624
434,3,1670,624
435,3,1671,623
436,3,1671,623
437,3,1672,623
438,3,1672,622
439,3,1673,621
440,3,1674,621
441,3,1674,620
442,3,1675,619
443,3,1676,619
444,3,1676,618
445,3,1676,618
446,3,1677,617
447,3,1677,617
448,3,1678,616
